tahun,provinsi,komoditas,supply_ton,demand_ton,gap_ton,mapping_type,data_quality,forecast_supported,optimizer_mode,supply_index,demand_index
2019,Kepulauan Riau,Beras Medium I,,192574.5,,exact,partial_demand,False,demand_only,,0.030412828179062535
2019,Lampung,Beras Medium I,,844681.23,,exact,partial_demand,False,demand_only,,0.15988900585063073
2019,Maluku,Beras Medium I,,164150.97999999998,,exact,partial_demand,False,demand_only,,0.024769321439649838
2019,Maluku Utara,Beras Medium I,,111140.42,,exact,partial_demand,False,demand_only,,0.014244043338273204
2019,Nusa Tenggara Barat,Beras Medium I,,695755.54,,exact,partial_demand,False,demand_only,,0.13031972184968063
2019,Nusa Tenggara Timur,Beras Medium I,,633983.04,,exact,partial_demand,False,demand_only,,0.11805475536909095
2019,Papua,Beras Medium I,,63664.47999999999,,exact,partial_demand,False,demand_only,,0.004817667317641255
2019,Papua Barat,Beras Medium I,,50651.12,,exact,partial_demand,False,demand_only,,0.0022338569780913516
2019,Riau,Beras Medium I,,606196.7999999999,,exact,partial_demand,False,demand_only,,0.11253778095132218
2019,Sulawesi Barat,Beras Medium I,,175714.56,,exact,partial_demand,False,demand_only,,0.02706527710107875
2019,Sulawesi Selatan,Beras Medium I,,994562.4,,exact,partial_demand,False,demand_only,,0.189648000971786
2019,Sulawesi Tengah,Beras Medium I,,337071.48,,exact,partial_demand,False,demand_only,,0.059102789185116
2019,Sulawesi Tenggara,Beras Medium I,,293314.77999999997,,exact,partial_demand,False,demand_only,,0.05041487047045788
2019,Sulawesi Utara,Beras Medium I,,288196.26,,exact,partial_demand,False,demand_only,,0.04939858529128871
2019,Sumatera Barat,Beras Medium I,,592612.86,,exact,partial_demand,False,demand_only,,0.1098406816146539
2019,Sumatera Selatan,Beras Medium I,,828564.7999999999,,exact,partial_demand,False,demand_only,,0.15668907912374141
2019,Sumatera Utara,Beras Medium I,,1581737.16,,exact,partial_demand,False,demand_only,,0.3062318975220032
2020,Aceh,Beras Medium I,,568226.0,,exact,partial_demand,False,demand_only,,0.10499865611031406
2020,Bali,Beras Medium I,,521525.97000000003,,exact,partial_demand,False,demand_only,,0.09572633747997643
2020,Banten,Beras Medium I,,1262516.18,,exact,partial_demand,False,demand_only,,0.24285038277675264
2020,Bengkulu,Beras Medium I,,212731.0,,exact,partial_demand,False,demand_only,,0.034414913198545415
2020,DI Yogyakarta,Beras Medium I,,310839.3,,exact,partial_demand,False,demand_only,,0.05389437430126323
2020,DKI Jakarta,Beras Medium I,,995189.6,,exact,partial_demand,False,demand_only,,0.18977253190345666
2020,Gorontalo,Beras Medium I,,134157.6,,exact,partial_demand,False,demand_only,,0.018814118066958287
2020,Jambi,Beras Medium I,,339165.0,,exact,partial_demand,False,demand_only,,0.05951845882170905
2020,Jawa Barat,Beras Medium I,,4938850.7,,exact,partial_demand,False,demand_only,,0.9727887802713461
2020,Jawa Tengah,Beras Medium I,,3379876.7600000002,,exact,partial_demand,False,demand_only,,0.663253580656423
2020,Jawa Timur,Beras Medium I,,3649142.3100000005,,exact,partial_demand,False,demand_only,,0.7167164151722277
2020,Kalimantan Barat,Beras Medium I,,531625.2000000001,,exact,partial_demand,False,demand_only,,0.09773154558115035
2020,Kalimantan Selatan,Beras Medium I,,412010.49,,exact,partial_demand,False,demand_only,,0.07398197402851031
2020,Kalimantan Tengah,Beras Medium I,,252920.50000000003,,exact,partial_demand,False,demand_only,,0.04239456223932665
2020,Kalimantan Timur,Beras Medium I,,482665.56,,exact,partial_demand,False,demand_only,,0.08801058004629683
2020,Kalimantan Utara,Beras Medium I,,63024.53999999999,,exact,partial_demand,False,demand_only,,0.004690606851421035
2020,Kepulauan Bangka Belitung,Beras Medium I,,132438.32,,exact,partial_demand,False,demand_only,,0.018472754004135054
2020,Kepulauan Riau,Beras Medium I,,180178.90000000002,,exact,partial_demand,False,demand_only,,0.027951674453589273
2020,Lampung,Beras Medium I,,841824.36,,exact,partial_demand,False,demand_only,,0.15932177261918629
2020,Maluku,Beras Medium I,,161589.19999999998,,exact,partial_demand,False,demand_only,,0.02426067850257193
2020,Maluku Utara,Beras Medium I,,112239.46,,exact,partial_demand,False,demand_only,,0.014462258381550186
2020,Nusa Tenggara Barat,Beras Medium I,,665380.71,,exact,partial_demand,False,demand_only,,0.1242887813534467
2020,Papua,Beras Medium I,,65596.95999999999,,exact,partial_demand,False,demand_only,,0.00520136236680407
2020,Papua Barat,Beras Medium I,,51121.200000000004,,exact,partial_demand,False,demand_only,,0.002327191640654719
2020,Riau,Beras Medium I,,597342.24,,exact,partial_demand,False,demand_only,,0.11077970281622372
2020,Sulawesi Barat,Beras Medium I,,170681.07,,exact,partial_demand,False,demand_only,,0.026065874678797264
2020,Sulawesi Selatan,Beras Medium I,,984999.3,,exact,partial_demand,False,demand_only,,0.18774924179981584
2020,Sulawesi Tengah,Beras Medium I,,340543.19,,exact,partial_demand,False,demand_only,,0.05979209926290674
2020,Sulawesi Tenggara,Beras Medium I,,290194.41,,exact,partial_demand,False,demand_only,,0.04979531915786672
2020,Sulawesi Utara,Beras Medium I,,289012.68,,exact,partial_demand,False,demand_only,,0.04956068596608871
