Provinsi,Produksi Padi - Produksi Padi (ton) (Ton),Produksi Padi - Produksi Beras (ton) (Ton)
Aceh,1404234.82,808955.47
Sumatera Utara,2087474.15,1197409.21
Sumatera Barat,1482468.79,858383.18
Riau,205972.55,118208.51
Jambi,275941.45,159624.9
Sumatera Selatan,2832773.92,1626734.93
Bengkulu,286684.43,165120.08
Lampung,2757898.19,1585385.58
Kepulauan Bangka Belitung,66468.89,39398.13
Kepulauan Riau,324.01,185.41
DKI Jakarta,2674.28,1576.37
Jawa Barat,9140039.2,5278209.2
Jawa Tengah,9084107.53,5223899.08
DI Yogyakarta,534113.69,303390.05
Jawa Timur,9710661.33,5607131.53
Banten,1686483.29,960504.4
Bali,673580.65,379869.53
Nusa Tenggara Barat,1538536.92,876273.53
Nusa Tenggara Timur,766810.46,449144.5
Kalimantan Barat,700290.8,414286.15
Kalimantan Tengah,330781.05,196487.84
Kalimantan Selatan,875545.73,518040.84
Kalimantan Timur,226972.07,132022.44
Kalimantan Utara,23602,13992.14
Sulawesi Utara,238193.41,133848.82
Sulawesi Tengah,821367.41,484835.84
Sulawesi Selatan,4876386.11,2798247.6
Sulawesi Tenggara,479407.25,275313.62
Gorontalo,251431.76,140390
Sulawesi Barat,291458.59,167391.99
Maluku,79958.34,44777.38
Maluku Utara,26663.23,14920.97
Papua Barat,22566.81,13559.26
Papua Barat Daya,2396.95,1440.2
Papua,3760.45,2147.17
Papua Selatan,183627.83,104849.17
Papua Tengah,9273.22,5294.89
Papua Pegunungan,61.63,35.19
Indonesia,53980993.19,31101285.1
