Provinsi,Produksi Padi - Produksi Padi (ton) (Ton),Produksi Padi - Produksi Beras (ton) (Ton)
Aceh,1659966.28,956278.09
Sumatera Utara,2204875.51,1264752.48
Sumatera Barat,1356467.93,785425.72
Riau,222055.71,127438.73
Jambi,281022.05,162563.9
Sumatera Selatan,2909411.67,1670744.56
Bengkulu,272848.55,157151.04
Lampung,2791347.53,1604614.06
Kepulauan Bangka Belitung,77489.79,45930.55
Kepulauan Riau,305.09,174.59
DKI Jakarta,2306.54,1359.57
Jawa Barat,8626879.91,4981868.86
Jawa Tengah,8891297.05,5113021.6
DI Yogyakarta,452831.77,257219.86
Jawa Timur,9270435.29,5352936.04
Banten,1550623.46,883128.02
Bali,635473.35,358378.78
Nusa Tenggara Barat,1453408.37,827788.45
Nusa Tenggara Timur,707792.54,414576.01
Kalimantan Barat,764784.15,452439.81
Kalimantan Tengah,366146.82,217495.56
Kalimantan Selatan,1029567.93,609172.41
Kalimantan Timur,249642.9,145209.36
Kalimantan Utara,30079.77,17832.41
Sulawesi Utara,273134.94,153483.66
Sulawesi Tengah,761936.39,449754.96
Sulawesi Selatan,4818429.39,2764990.01
Sulawesi Tenggara,555836.08,319205.15
Gorontalo,234862.88,131138.53
Sulawesi Barat,318876.59,183138.8
Maluku,91125.35,51031.04
Maluku Utara,31232.95,17478.19
Papua Barat,20729.15,12455.13
Papua Barat Daya,988.64,594.02
Papua,4609.95,2632.19
Papua Selatan,217789.62,124355.12
Papua Tengah,6072.38,3467.26
Papua Pegunungan,42.38,24.2
Indonesia,53142726.65,30621248.72
