No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Energi 
101,1603,Kabupaten Muara Enim,Sumatera Selatan,2021,2142
102,1604,Kabupaten Lahat,Sumatera Selatan,2021,2291
103,1605,Kabupaten Musi Rawas,Sumatera Selatan,2021,2153
104,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2021,2252
105,1607,Kabupaten Banyuasin,Sumatera Selatan,2021,2459
106,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2021,2083
107,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2021,2336
108,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2021,2182
109,1611,Kabupaten Empat Lawang,Sumatera Selatan,2021,2150
110,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2021,2178
111,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2021,2194
112,1671,Kota Palembang,Sumatera Selatan,2021,2161
113,1674,Kota Prabumulih,Sumatera Selatan,2021,1871
114,1672,Kota Pagar Alam,Sumatera Selatan,2021,2224
115,1673,Kota Lubuklinggau,Sumatera Selatan,2021,2255
116,1701,Kabupaten Bengkulu Selatan,Bengkulu,2021,2114
117,1702,Kabupaten Rejang Lebong,Bengkulu,2021,2173
118,1703,Kabupaten Bengkulu Utara,Bengkulu,2021,2233
119,1704,Kabupaten Kaur,Bengkulu,2021,2374
120,1705,Kabupaten Seluma,Bengkulu,2021,2029
121,1706,Kabupaten Mukomuko,Bengkulu,2021,2088
122,1707,Kabupaten Lebong,Bengkulu,2021,2308
123,1708,Kabupaten Kepahiang,Bengkulu,2021,2233
124,1709,Kabupaten Bengkulu Tengah,Bengkulu,2021,2342
125,1771,Kota Bengkulu,Bengkulu,2021,1925
126,1804,Kabupaten Lampung Barat,Lampung,2021,2199
127,1806,Kabupaten Tanggamus,Lampung,2021,2066
128,1801,Kabupaten Lampung Selatan,Lampung,2021,2168
129,1807,Kabupaten Lampung Timur,Lampung,2021,2083
130,1802,Kabupaten Lampung Tengah,Lampung,2021,2232
131,1803,Kabupaten Lampung Utara,Lampung,2021,1930
132,1808,Kabupaten Way Kanan,Lampung,2021,2173
133,1805,Kabupaten Tulang Bawang,Lampung,2021,1893
134,1809,Kabupaten Pesawaran,Lampung,2021,2190
135,1810,Kabupaten Pringsewu,Lampung,2021,2151
136,1811,Kabupaten Mesuji,Lampung,2021,2025
137,1812,Kabupaten Tulang Bawang Barat,Lampung,2021,1811
138,1813,Kabupaten Pesisir Barat,Lampung,2021,2027
139,1871,Kota Bandar Lampung,Lampung,2021,2063
140,1872,Kota Metro,Lampung,2021,2075
141,1901,Kabupaten Bangka,Kep. Bangka Belitung,2021,2095
142,1902,Kabupaten Belitung,Kep. Bangka Belitung,2021,2133
143,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2021,2226
144,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2021,2107
145,1903,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2021,2101
146,1906,Kabupaten Belitung Timur,Kep. Bangka Belitung,2021,2143
147,1971,Kota Pangkal Pinang,Kep. Bangka Belitung,2021,1999
148,2102,Kabupaten Karimun,Kep. Riau,2021,2027
149,2101,Kabupaten Bintan,Kep. Riau,2021,2027
150,2103,Kabupaten Natuna,Kep. Riau,2021,2031
151,2104,Kabupaten Lingga,Kep. Riau,2021,2158
152,2105,Kabupaten Kepulauan Anambas,Kep. Riau,2021,1888
153,2171,Kota Batam,Kep. Riau,2021,2211
154,2172,Kota Tanjung Pinang,Kep. Riau,2021,2036
155,3101,Kabupaten Kepulauan Seribu,DKI Jakarta,2021,2035
156,3174,Kota Jakarta Selatan,DKI Jakarta,2021,2167
157,3175,Kota Jakarta Timur,DKI Jakarta,2021,2200
158,3171,Kota Jakarta Pusat,DKI Jakarta,2021,2252
159,3173,Kota Jakarta Barat,DKI Jakarta,2021,2227
160,3172,Kota Jakarta Utara,DKI Jakarta,2021,2313
161,3201,Kabupaten Bogor,Jawa Barat,2021,2128
162,3202,Kabupaten Sukabumi,Jawa Barat,2021,2377
163,3203,Kabupaten Cianjur,Jawa Barat,2021,2309
164,3204,Kabupaten Bandung,Jawa Barat,2021,2166
165,3205,Kabupaten Garut,Jawa Barat,2021,1996
166,3206,Kabupaten Tasikmalaya,Jawa Barat,2021,2116
167,3207,Kabupaten Ciamis,Jawa Barat,2021,2308
168,3208,Kabupaten Kuningan,Jawa Barat,2021,2435
169,3209,Kabupaten Cirebon,Jawa Barat,2021,2409
170,3210,Kabupaten Majalengka,Jawa Barat,2021,2369
171,3211,Kabupaten Sumedang,Jawa Barat,2021,2313
172,3212,Kabupaten Indramayu,Jawa Barat,2021,2542
173,3213,Kabupaten Subang,Jawa Barat,2021,2271
174,3214,Kabupaten Purwakarta,Jawa Barat,2021,2324
175,3215,Kabupaten Karawang,Jawa Barat,2021,2228
176,3216,Kabupaten Bekasi,Jawa Barat,2021,2183
177,3217,Kabupaten Bandung Barat,Jawa Barat,2021,2067
178,3218,Kabupaten Pangandaran,Jawa Barat,2021,2366
179,3271,Kota Bogor,Jawa Barat,2021,2089
180,3272,Kota Sukabumi,Jawa Barat,2021,2133
181,3273,Kota Bandung,Jawa Barat,2021,2160
182,3274,Kota Cirebon,Jawa Barat,2021,2054
183,3275,Kota Bekasi,Jawa Barat,2021,2179
184,3276,Kota Depok,Jawa Barat,2021,2096
185,3277,Kota Cimahi,Jawa Barat,2021,1981
186,3278,Kota Tasikmalaya,Jawa Barat,2021,2346
187,3279,Kota Banjar,Jawa Barat,2021,2414
188,3301,Kabupaten Cilacap,Jawa Tengah,2021,1911
189,3302,Kabupaten Banyumas,Jawa Tengah,2021,2208
190,3303,Kabupaten  Purbalingga,Jawa Tengah,2021,1871
191,3304,Kabupaten Banjarnegara,Jawa Tengah,2021,2101
192,3305,Kabupaten Kebumen,Jawa Tengah,2021,2056
193,3306,Kabupaten Purworejo,Jawa Tengah,2021,1993
194,3307,Kabupaten Wonosobo,Jawa Tengah,2021,1968
195,3308,Kabupaten Magelang,Jawa Tengah,2021,1957
196,3309,Kabupaten Boyolali,Jawa Tengah,2021,1920
197,3310,Kabupaten Klaten,Jawa Tengah,2021,1966
198,3311,Kabupaten Sukoharjo,Jawa Tengah,2021,1958
199,3312,Kabupaten Wonogiri,Jawa Tengah,2021,1961
200,3313,Kabupaten Karanganyar,Jawa Tengah,2021,1905
201,3314,Kabupaten Sragen,Jawa Tengah,2021,2103
202,3315,Kabupaten Grobogan,Jawa Tengah,2021,2105
203,3316,Kabupaten Blora,Jawa Tengah,2021,2152
204,3317,Kabupaten Rembang,Jawa Tengah,2021,2105
205,3318,Kabupaten Pati,Jawa Tengah,2021,2049
206,3319,Kabupaten Kudus,Jawa Tengah,2021,1942
207,3320,Kabupaten Jepara,Jawa Tengah,2021,1920
208,3321,Kabupaten Demak,Jawa Tengah,2021,2200
209,3322,Kabupaten Semarang,Jawa Tengah,2021,1999
210,3323,Kabupaten Temanggung,Jawa Tengah,2021,1851
211,3324,Kabupaten Kendal,Jawa Tengah,2021,2127
212,3325,Kabupaten Batang ,Jawa Tengah,2021,2205
213,3326,Kabupaten Pekalongan,Jawa Tengah,2021,2172
214,3327,Kabupaten Pemalang,Jawa Tengah,2021,2391
215,3328,Kabupaten Tegal,Jawa Tengah,2021,2232
216,3329,Kabupaten Brebes,Jawa Tengah,2021,2127
217,3371,Kota Magelang,Jawa Tengah,2021,1957
218,3372,Kota Surakarta,Jawa Tengah,2021,1989
219,3373,Kota Salatiga,Jawa Tengah,2021,2057
220,3374,Kota Semarang,Jawa Tengah,2021,2008
221,3375,Kota Pekalongan,Jawa Tengah,2021,2020
222,3376,Kota Tegal,Jawa Tengah,2021,2197
223,3401,Kabupaten Kulon Progo,DI Yogyakarta,2021,1990
224,3402,Kabupaten Bantul,DI Yogyakarta,2021,2092
225,3403,Kabupaten Gunung Kidul,DI Yogyakarta,2021,2184
226,3404,Kabupaten Sleman,DI Yogyakarta,2021,2291
227,3471,Kota Yogyakarta,DI Yogyakarta,2021,1933
228,3501,Kabupaten Pacitan,Jawa Timur,2021,2046
229,3502,Kabupaten Ponorogo,Jawa Timur,2021,2029
230,3503,Kabupaten Trenggalek,Jawa Timur,2021,2060
231,3504,Kabupaten Tulungagung,Jawa Timur,2021,2030
232,3505,Kabupaten Blitar,Jawa Timur,2021,2062
233,3506,Kabupaten Kediri,Jawa Timur,2021,2131
234,3507,Kabupaten Malang,Jawa Timur,2021,2008
235,3508,Kabupaten Lumajang,Jawa Timur,2021,2313
236,3509,Kabupaten Jember,Jawa Timur,2021,2247
237,3510,Kabupaten Banyuwangi,Jawa Timur,2021,2147
238,3511,Kabupaten Bondowoso,Jawa Timur,2021,2135
239,3512,Kabupaten Situbondo,Jawa Timur,2021,2182
240,3513,Kabupaten Probolinggo,Jawa Timur,2021,2068
241,3514,Kabupaten Pasuruan,Jawa Timur,2021,2220
242,3515,Kabupaten Sidoarjo,Jawa Timur,2021,2012
