Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kilogram) (Kg),Produksi Jamur Merang (kilogram) (Kg),Produksi Jamur Lainnya (kilogram) (Kg)
DKI Jakarta,-,14,-,32784,-,1,-,47268,53,-,-,60,-,53,-,21763,2,-,13,2,-,-,-,-,-,-
Jawa Barat,1579677,1933183,4165,338038,921653,1490531,816614,595997,357000,2720738,1355202,2363680,1028211,12815,30657,1735371,82320,254132,1042042,2729615,1280912,1619987,1956968,146530,53409,1854
Jawa Tengah,1255945,5565098,216202,113206,242701,2423032,237567,316741,373536,2787168,246024,2245449,1126151,262312,770,1206798,598367,13033,528326,805773,1364987,502838,1364381,109103,1161,4522
DI Yogyakarta,190,223066,-,21282,1934,151977,28889,41119,1487,-,12490,-,1263,70014,0,47126,82984,438,28927,8835,-,17194,336651,8498,1782,1708
Jawa Timur,1097231,4783933,8545,135074,282762,6467402,349416,382230,212653,3851238,543945,2104541,328757,622868,175170,829937,973571,10848,1025403,1020985,896638,854435,307317,140044,22213,12234
Banten,3189,13724,-,73386,1101,39098,153835,92173,70,52,158509,230,910,2896,1,68278,5129,173,54585,18948,1815,14525,53108,2941,-,-
Bali,7738,314924,6893,8079,77235,283182,47239,52577,16068,664,46846,337297,673678,2184,871,223731,245616,1958,11929,60042,18313,66299,-,4211,-,-
Nusa Tenggara Barat,22182,2011552,47614,7115,66919,500784,117003,75513,19322,28770,68737,97912,18516,16889,550,26753,76013,2450,169491,407417,48780,156370,60224,31978,6,1
Nusa Tenggara Timur,18554,75845,4827,54533,36065,198812,63421,148241,9626,3335,53054,30090,237773,3557,384,121575,18372,804,166235,92150,35229,15148,21679,2,-,1
Kalimantan Barat,7485,440,-,31715,11134,61926,73572,52325,102,-,91241,-,14941,3716,-,42775,58620,-,71372,31364,-,24976,8260,182,9,-
Kalimantan Tengah,13867,1118,-,14721,17372,54191,43644,20886,1010,-,53670,212,945,3754,1,20458,113452,-,49831,24251,-,9371,3528,2131,-,15
Kalimantan Selatan,7650,2460,-,13074,21131,117636,43168,14364,701,-,42908,-,-,8705,-,12202,35260,-,49578,43031,-,61337,22829,3502,-,-
Kalimantan Timur,4785,1145,-,49297,55464,77779,94756,110258,1245,-,119111,23,3235,4698,-,84927,36648,-,122700,88409,-,20826,36498,1670,-,-
Kalimantan Utara,15516,73,-,21265,28969,58751,28735,35285,2,-,48169,-,1256,9197,-,31504,24963,-,91653,77826,-,50409,8114,8,-,-
Sulawesi Utara,743245,50196,-,4430,15229,190062,20150,40330,9881,951391,25590,1072764,255547,9400,0,587859,11758,-,91884,820789,586902,1265,70570,-,-,-
Sulawesi Tengah,60663,34540,1160,14161,11214,253887,27125,23639,5059,4258,31381,270253,22517,15992,147,134857,40583,12,51691,188705,54694,14356,47167,63,-,20
Sulawesi Selatan,475005,1751599,14,53976,54115,237614,104368,110856,27932,926133,91509,685217,110430,9814,116,178388,62467,137,113794,659186,701535,133965,32743,14390,-,-
Sulawesi Tenggara,4062,4493,-,26812,2359,39145,38211,43149,155,-,24343,3648,6007,2045,3,14516,12531,113,52206,41150,-,14744,10659,137,0,-
Gorontalo,149,4176,-,503,510,148055,4321,2157,-,-,1727,-,-,-,-,352,1735,-,3540,43701,-,15489,446,-,-,-
Sulawesi Barat,2037,7481,480,11746,187,34959,23911,18860,-,700,13377,94,1682,645,-,5205,1557,-,16614,19667,88,25184,10840,-,-,-
Maluku,3982,7593,-,18379,14874,38465,31722,43424,710,9,26930,7267,5472,2068,370,38248,10323,-,40826,50859,484,8010,23471,-,-,-
Maluku Utara,8651,8047,-,9369,4392,28729,38997,21010,1895,-,31972,1277,4349,555,-,13101,12959,-,42159,84790,-,185,37084,-,-,-
Papua Barat,2690,776,27,42170,30013,41065,76273,60643,1644,287,47618,4298,2043,4344,-,35042,13825,5,34821,55838,498,10700,4974,15,-,-
Papua,9212,2860,-,23276,19478,43355,41891,60462,666,2,18944,20776,3750,27359,-,44129,43057,-,25690,57353,155,21544,440,-,-,-
Indonesia,6387345,19823602,305823,1708214,3256021,15444409,3608715,3296160,1921211,15039983,4440567,15037976,4618043,1186958,209970,7606082,3678165,288952,6917384,11687437,7379652,4584394,10173818,527758,82609,21185
,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Sementara,,,,,,,,,,,,,,,,,,,,,,,,,,
