Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kilogram) (Kg),Produksi Jamur Merang (kilogram) (Kg),Produksi Jamur Lainnya (kilogram) (Kg)
Aceh,14468,100703,100,41209,4958,653082,121890,74814,6303,142944,137018,62940,15693,5589,-,31494,51202,200,88193,88458,2201,14429,966417,55,91,9
Sumatera Utara,180520,648349,205,167975,468575,870122,263326,230025,573404,1488725,250302,2366111,163214,21131,404,743704,294185,1101,571142,1830153,1519699,264075,1853392,2348,-,-
Sumatera Barat,530615,2073758,7907,67111,376237,266558,154328,102363,113859,239736,181931,1639820,217176,8492,-,473625,119124,993,861587,1186348,253116,-,1235035,534,-,-
Riau,287,1953,-,105856,335,74288,89617,124982,131,-,155466,11,4261,12554,30,22494,175391,-,91950,2032,50,23153,107892,1893,0,730
Jambi,54717,160502,130,42965,55984,124289,81693,53155,43960,1847206,54387,843194,131403,8673,299,255010,58488,123,163829,480081,109242,44695,936891,910,-,-
Sumatera Selatan,33559,11299,4670,37739,34521,94606,98872,78732,5488,5653,118327,38419,32325,19281,196,46192,169466,1692,137368,90543,18977,118681,136292,1644,200,4
Bengkulu,188055,10233,2854,6764,350177,214266,83757,33242,132635,39027,185412,774139,171410,4023,-,363700,8091,739,893431,397090,423046,372493,215200,41248,-,1
Lampung,36304,17267,30,78439,42280,111934,135277,133644,4616,1947,112413,68231,35074,8220,-,110459,194425,-,182882,161902,62290,69146,227202,12197,3738,86
Kepulauan Bangka Belitung,2630,787,-,11906,4880,37098,28272,17745,-,-,47806,-,32,2509,-,13773,36052,-,36178,19263,-,8100,52461,163,-,-
Kepulauan Riau,2483,414,-,29856,1261,17729,46856,37950,-,-,44211,25,21,606,-,20734,9630,-,5515,879,-,10464,25087,1364,-,-
