No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
99,1601,Kabupaten Ogan Komering Ulu,Sumatera Selatan,2021,172.5
100,1602,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2021,191.4
101,1603,Kabupaten Muara Enim,Sumatera Selatan,2021,168.8
102,1604,Kabupaten Lahat,Sumatera Selatan,2021,210
103,1605,Kabupaten Musi Rawas,Sumatera Selatan,2021,184.3
104,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2021,179.9
105,1607,Kabupaten Banyuasin,Sumatera Selatan,2021,198.6
106,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2021,184.6
107,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2021,170.7
108,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2021,171.8
109,1611,Kabupaten Empat Lawang,Sumatera Selatan,2021,198.6
110,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2021,181.4
111,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2021,185.5
112,1671,Kota Palembang,Sumatera Selatan,2021,181.6
113,1674,Kota Prabumulih,Sumatera Selatan,2021,163.2
114,1672,Kota Pagar Alam,Sumatera Selatan,2021,173.4
115,1673,Kota Lubuklinggau,Sumatera Selatan,2021,180.2
116,1701,Kabupaten Bengkulu Selatan,Bengkulu,2021,251.9
117,1702,Kabupaten Rejang Lebong,Bengkulu,2021,179.1
118,1703,Kabupaten Bengkulu Utara,Bengkulu,2021,169.8
119,1704,Kabupaten Kaur,Bengkulu,2021,183.3
120,1705,Kabupaten Seluma,Bengkulu,2021,174.4
121,1706,Kabupaten Mukomuko,Bengkulu,2021,167.3
122,1707,Kabupaten Lebong,Bengkulu,2021,194.4
123,1708,Kabupaten Kepahiang,Bengkulu,2021,178.5
124,1709,Kabupaten Bengkulu Tengah,Bengkulu,2021,175.5
125,1771,Kota Bengkulu,Bengkulu,2021,155.4
126,1804,Kabupaten Lampung Barat,Lampung,2021,188.7
127,1806,Kabupaten Tanggamus,Lampung,2021,187.9
128,1801,Kabupaten Lampung Selatan,Lampung,2021,173.6
129,1807,Kabupaten Lampung Timur,Lampung,2021,172.5
130,1802,Kabupaten Lampung Tengah,Lampung,2021,173.2
131,1803,Kabupaten Lampung Utara,Lampung,2021,153.4
132,1808,Kabupaten Way Kanan,Lampung,2021,185.1
133,1805,Kabupaten Tulang Bawang,Lampung,2021,163.1
134,1809,Kabupaten Pesawaran,Lampung,2021,188.4
135,1810,Kabupaten Pringsewu,Lampung,2021,178.8
136,1811,Kabupaten Mesuji,Lampung,2021,173.2
137,1812,Kabupaten Tulang Bawang Barat,Lampung,2021,157.2
138,1813,Kabupaten Pesisir Barat,Lampung,2021,173.2
139,1871,Kota Bandar Lampung,Lampung,2021,165
140,1872,Kota Metro,Lampung,2021,153.4
141,1901,Kabupaten Bangka,Kep. Bangka Belitung,2021,169.4
142,1902,Kabupaten Belitung,Kep. Bangka Belitung,2021,169.4
143,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2021,162.3
144,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2021,178.8
145,1903,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2021,180.3
146,1906,Kabupaten Belitung Timur,Kep. Bangka Belitung,2021,180
147,1971,Kota Pangkal Pinang,Kep. Bangka Belitung,2021,168.7
148,2102,Kabupaten Karimun,Kep. Riau,2021,166
149,2101,Kabupaten Bintan,Kep. Riau,2021,171.2
150,2103,Kabupaten Natuna,Kep. Riau,2021,178.1
151,2104,Kabupaten Lingga,Kep. Riau,2021,164.7
152,2105,Kabupaten Kepulauan Anambas,Kep. Riau,2021,166.8
153,2171,Kota Batam,Kep. Riau,2021,171.1
154,2172,Kota Tanjung Pinang,Kep. Riau,2021,177.2
155,3101,Kabupaten Kepulauan Seribu,DKI Jakarta,2021,173.2
156,3174,Kota Jakarta Selatan,DKI Jakarta,2021,180.6
157,3175,Kota Jakarta Timur,DKI Jakarta,2021,182.7
158,3171,Kota Jakarta Pusat,DKI Jakarta,2021,175.6
159,3173,Kota Jakarta Barat,DKI Jakarta,2021,165
160,3172,Kota Jakarta Utara,DKI Jakarta,2021,200.4
161,3201,Kabupaten Bogor,Jawa Barat,2021,163.9
162,3202,Kabupaten Sukabumi,Jawa Barat,2021,198
163,3203,Kabupaten Cianjur,Jawa Barat,2021,186.1
164,3204,Kabupaten Bandung,Jawa Barat,2021,163.5
165,3205,Kabupaten Garut,Jawa Barat,2021,177.9
166,3206,Kabupaten Tasikmalaya,Jawa Barat,2021,171
167,3207,Kabupaten Ciamis,Jawa Barat,2021,188.6
168,3208,Kabupaten Kuningan,Jawa Barat,2021,171.4
169,3209,Kabupaten Cirebon,Jawa Barat,2021,165.4
170,3210,Kabupaten Majalengka,Jawa Barat,2021,180.6
171,3211,Kabupaten Sumedang,Jawa Barat,2021,187.4
172,3212,Kabupaten Indramayu,Jawa Barat,2021,203
173,3213,Kabupaten Subang,Jawa Barat,2021,181.5
174,3214,Kabupaten Purwakarta,Jawa Barat,2021,185.6
175,3215,Kabupaten Karawang,Jawa Barat,2021,182.9
176,3216,Kabupaten Bekasi,Jawa Barat,2021,169.8
177,3217,Kabupaten Bandung Barat,Jawa Barat,2021,172.2
178,3218,Kabupaten Pangandaran,Jawa Barat,2021,190.6
179,3271,Kota Bogor,Jawa Barat,2021,172.8
180,3272,Kota Sukabumi,Jawa Barat,2021,175.8
181,3273,Kota Bandung,Jawa Barat,2021,168.7
182,3274,Kota Cirebon,Jawa Barat,2021,165.4
183,3275,Kota Bekasi,Jawa Barat,2021,171.7
184,3276,Kota Depok,Jawa Barat,2021,167.7
185,3277,Kota Cimahi,Jawa Barat,2021,166.5
186,3278,Kota Tasikmalaya,Jawa Barat,2021,201.8
187,3279,Kota Banjar,Jawa Barat,2021,206.9
188,3301,Kabupaten Cilacap,Jawa Tengah,2021,172.3
189,3302,Kabupaten Banyumas,Jawa Tengah,2021,171.1
190,3303,Kabupaten  Purbalingga,Jawa Tengah,2021,162.7
191,3304,Kabupaten Banjarnegara,Jawa Tengah,2021,173.2
192,3305,Kabupaten Kebumen,Jawa Tengah,2021,169.3
193,3306,Kabupaten Purworejo,Jawa Tengah,2021,155.9
194,3307,Kabupaten Wonosobo,Jawa Tengah,2021,181.8
195,3308,Kabupaten Magelang,Jawa Tengah,2021,161.9
196,3309,Kabupaten Boyolali,Jawa Tengah,2021,157.6
197,3310,Kabupaten Klaten,Jawa Tengah,2021,153
198,3311,Kabupaten Sukoharjo,Jawa Tengah,2021,153.5
199,3312,Kabupaten Wonogiri,Jawa Tengah,2021,173.9
200,3313,Kabupaten Karanganyar,Jawa Tengah,2021,156.5
201,3314,Kabupaten Sragen,Jawa Tengah,2021,176.1
202,3315,Kabupaten Grobogan,Jawa Tengah,2021,180.6
203,3316,Kabupaten Blora,Jawa Tengah,2021,174.7
204,3317,Kabupaten Rembang,Jawa Tengah,2021,183.3
205,3318,Kabupaten Pati,Jawa Tengah,2021,178.7
206,3319,Kabupaten Kudus,Jawa Tengah,2021,158.7
207,3320,Kabupaten Jepara,Jawa Tengah,2021,163.3
208,3321,Kabupaten Demak,Jawa Tengah,2021,169.9
209,3322,Kabupaten Semarang,Jawa Tengah,2021,166
210,3323,Kabupaten Temanggung,Jawa Tengah,2021,165.5
211,3324,Kabupaten Kendal,Jawa Tengah,2021,173.1
212,3325,Kabupaten Batang ,Jawa Tengah,2021,173.1
213,3326,Kabupaten Pekalongan,Jawa Tengah,2021,185.4
214,3327,Kabupaten Pemalang,Jawa Tengah,2021,189
215,3328,Kabupaten Tegal,Jawa Tengah,2021,169.6
216,3329,Kabupaten Brebes,Jawa Tengah,2021,185
217,3371,Kota Magelang,Jawa Tengah,2021,142.5
218,3372,Kota Surakarta,Jawa Tengah,2021,158.8
