No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Skor_PPH
99,1601,Kabupaten Ogan Komering Ulu,Sumatera Selatan,2021,85.2
100,1602,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2021,93.5
101,1603,Kabupaten Muara Enim,Sumatera Selatan,2021,81.2
102,1604,Kabupaten Lahat,Sumatera Selatan,2021,84.1
103,1605,Kabupaten Musi Rawas,Sumatera Selatan,2021,86.5
104,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2021,87.2
105,1607,Kabupaten Banyuasin,Sumatera Selatan,2021,92.4
106,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2021,81.2
107,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2021,94.7
108,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2021,88
109,1611,Kabupaten Empat Lawang,Sumatera Selatan,2021,74.3
110,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2021,73.3
111,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2021,85
112,1671,Kota Palembang,Sumatera Selatan,2021,85.4
113,1674,Kota Prabumulih,Sumatera Selatan,2021,78.8
114,1672,Kota Pagar Alam,Sumatera Selatan,2021,91.8
115,1673,Kota Lubuklinggau,Sumatera Selatan,2021,90.9
116,1701,Kabupaten Bengkulu Selatan,Bengkulu,2021,82.5
117,1702,Kabupaten Rejang Lebong,Bengkulu,2021,84.1
118,1703,Kabupaten Bengkulu Utara,Bengkulu,2021,88.3
119,1704,Kabupaten Kaur,Bengkulu,2021,83.6
120,1705,Kabupaten Seluma,Bengkulu,2021,75.4
121,1706,Kabupaten Mukomuko,Bengkulu,2021,85.4
122,1707,Kabupaten Lebong,Bengkulu,2021,87.6
123,1708,Kabupaten Kepahiang,Bengkulu,2021,83.2
124,1709,Kabupaten Bengkulu Tengah,Bengkulu,2021,85.1
125,1771,Kota Bengkulu,Bengkulu,2021,82.5
126,1804,Kabupaten Lampung Barat,Lampung,2021,85.1
127,1806,Kabupaten Tanggamus,Lampung,2021,83.9
128,1801,Kabupaten Lampung Selatan,Lampung,2021,91.2
129,1807,Kabupaten Lampung Timur,Lampung,2021,89.5
130,1802,Kabupaten Lampung Tengah,Lampung,2021,89.8
131,1803,Kabupaten Lampung Utara,Lampung,2021,80.1
132,1808,Kabupaten Way Kanan,Lampung,2021,86.9
133,1805,Kabupaten Tulang Bawang,Lampung,2021,83.5
134,1809,Kabupaten Pesawaran,Lampung,2021,89.4
135,1810,Kabupaten Pringsewu,Lampung,2021,90.2
136,1811,Kabupaten Mesuji,Lampung,2021,87.7
137,1812,Kabupaten Tulang Bawang Barat,Lampung,2021,77.5
138,1813,Kabupaten Pesisir Barat,Lampung,2021,82.9
139,1871,Kota Bandar Lampung,Lampung,2021,88.4
140,1872,Kota Metro,Lampung,2021,92.6
141,1901,Kabupaten Bangka,Kep. Bangka Belitung,2021,83.3
142,1902,Kabupaten Belitung,Kep. Bangka Belitung,2021,80.5
143,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2021,84.3
144,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2021,82.1
145,1903,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2021,76.9
146,1906,Kabupaten Belitung Timur,Kep. Bangka Belitung,2021,79.5
147,1971,Kota Pangkal Pinang,Kep. Bangka Belitung,2021,83.7
148,2102,Kabupaten Karimun,Kep. Riau,2021,85.4
149,2101,Kabupaten Bintan,Kep. Riau,2021,84.7
150,2103,Kabupaten Natuna,Kep. Riau,2021,79.3
151,2104,Kabupaten Lingga,Kep. Riau,2021,76.1
152,2105,Kabupaten Kepulauan Anambas,Kep. Riau,2021,68.6
153,2171,Kota Batam,Kep. Riau,2021,88.1
154,2172,Kota Tanjung Pinang,Kep. Riau,2021,85.4
155,3101,Kabupaten Kepulauan Seribu,DKI Jakarta,2021,80.9
156,3174,Kota Jakarta Selatan,DKI Jakarta,2021,84.9
157,3175,Kota Jakarta Timur,DKI Jakarta,2021,87.3
158,3171,Kota Jakarta Pusat,DKI Jakarta,2021,85.9
159,3173,Kota Jakarta Barat,DKI Jakarta,2021,85.9
160,3172,Kota Jakarta Utara,DKI Jakarta,2021,89
161,3201,Kabupaten Bogor,Jawa Barat,2021,77.9
162,3202,Kabupaten Sukabumi,Jawa Barat,2021,84.2
163,3203,Kabupaten Cianjur,Jawa Barat,2021,75.9
164,3204,Kabupaten Bandung,Jawa Barat,2021,77.9
165,3205,Kabupaten Garut,Jawa Barat,2021,73.9
166,3206,Kabupaten Tasikmalaya,Jawa Barat,2021,76.5
167,3207,Kabupaten Ciamis,Jawa Barat,2021,92.1
168,3208,Kabupaten Kuningan,Jawa Barat,2021,82.4
169,3209,Kabupaten Cirebon,Jawa Barat,2021,93
170,3210,Kabupaten Majalengka,Jawa Barat,2021,86.8
171,3211,Kabupaten Sumedang,Jawa Barat,2021,87.4
172,3212,Kabupaten Indramayu,Jawa Barat,2021,95.4
173,3213,Kabupaten Subang,Jawa Barat,2021,82.6
174,3214,Kabupaten Purwakarta,Jawa Barat,2021,79.5
175,3215,Kabupaten Karawang,Jawa Barat,2021,85.2
176,3216,Kabupaten Bekasi,Jawa Barat,2021,80.7
