No.,Kode Provinsi,Nama Provinsi,Tahun,Konsumsi Energi (kkal/kap/hari)
137,11,Aceh,2022,2064
138,12,Sumatera Utara,2022,2123
139,13,Sumatera Barat,2022,2109
140,14,Riau,2022,2022
141,15,Jambi,2022,2070
142,16,Sumatera Selatan,2022,2182
143,17,Bengkulu,2022,2038
144,18,Lampung,2022,2003
145,19,Kepulauan Bangka Belitung,2022,2066
146,21,Kepulauan Riau,2022,2020
147,31,DKI Jakarta,2022,2147
148,32,Jawa Barat,2022,2116
149,33,Jawa Tengah,2022,2003
150,34,DI Yogyakarta,2022,2024
151,35,Jawa Timur,2022,2042
152,36,Banten,2022,2270
153,51,Bali,2022,2146
154,52,Nusa Tenggara Barat,2022,2460
155,53,Nusa Tenggara Timur,2022,1974
156,61,Kalimantan Barat,2022,1892
157,62,Kalimantan Tengah,2022,2116
158,63,Kalimantan Selatan,2022,2189
159,64,Kalimantan Timur,2022,1974
160,65,Kalimantan Utara,2022,1858
161,71,Sulawesi Utara,2022,2155
162,72,Sulawesi Tengah,2022,2001
163,73,Sulawesi Selatan,2022,2078
164,74,Sulawesi Tenggara,2022,1949
165,75,Gorontalo,2022,1958
166,76,Sulawesi Barat,2022,2083
167,81,Maluku,2022,1837
168,82,Maluku Utara,2022,1844
169,91,Papua Barat,2022,1880
170,94,Papua,2022,1902
171,11,Aceh,2023,2053
172,12,Sumatera Utara,2023,2094
173,13,Sumatera Barat,2023,2086
174,14,Riau,2023,2048
175,15,Jambi,2023,2043
176,16,Sumatera Selatan,2023,2191
177,17,Bengkulu,2023,2060
178,18,Lampung,2023,2096
179,19,Kepulauan Bangka Belitung,2023,2059
180,21,Kepulauan Riau,2023,2048
181,31,DKI Jakarta,2023,2158
182,32,Jawa Barat,2023,2110
183,33,Jawa Tengah,2023,2025
184,34,DI Yogyakarta,2023,2053
185,35,Jawa Timur,2023,2068
186,36,Banten,2023,2207
187,51,Bali,2023,2264
188,52,Nusa Tenggara Barat,2023,2485
189,53,Nusa Tenggara Timur,2023,1938
190,61,Kalimantan Barat,2023,1920
191,62,Kalimantan Tengah,2023,2134
192,63,Kalimantan Selatan,2023,2167
193,64,Kalimantan Timur,2023,2009
194,65,Kalimantan Utara,2023,1891
195,71,Sulawesi Utara,2023,2105
196,72,Sulawesi Tengah,2023,2055
197,73,Sulawesi Selatan,2023,2110
198,74,Sulawesi Tenggara,2023,2019
199,75,Gorontalo,2023,1996
200,76,Sulawesi Barat,2023,2100
201,81,Maluku,2023,1820
202,82,Maluku Utara,2023,1823
203,91,Papua Barat,2023,1860
204,94,Papua,2023,1903
