Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Kalimantan Timur,5421.86,3444.55,-,48255.03,28625.01,64675.69,55000.4,90943.6,1224.28,-,94711.11,51.6,3419,8226.45,-,57609.91,104495.17,-,88623.1,65269.43,-,10073.48,37790.29,1959.94,-,-
Kalimantan Utara,21305.06,-,-,21993.54,34256.5,69516.29,35104.15,47508.12,1.5,-,57737.85,-,33887.5,6238,-,37349.36,38037.31,-,110938.87,104332.75,-,55728.85,26341.27,6813.71,-,-
Sulawesi Utara,534454.35,27506.49,-,5137.91,13931.64,132955.76,11311.4,43585.95,15514.27,522466,15251.56,763591.31,159504.57,3574.6,5,489332,10237.55,34.5,71233.08,338830.47,488976.37,228.5,48613.56,-,-,-
Sulawesi Tengah,82391.66,32382.96,-,12950.2,11992.23,229567.57,33749.63,27642.65,7854.7,8185,44342.82,222793.55,42028.09,9420.85,65,64788.38,36579.97,90.5,89776.39,163240.5,37260.82,25764.89,69115.09,0.25,-,-
Sulawesi Selatan,407901.73,2351870.02,-,47811.41,63818.92,364571.3,80641.76,98316.48,24257.03,603268.61,59785.77,693091.26,137140.33,11819.3,418,197505.78,221180.26,191.1,101975.17,984659.18,345117.63,162255,70287.07,2751.15,-,0.5
Sulawesi Tenggara,4121.93,7821.48,-,27808.69,3152.95,38915.56,35204.01,43045.1,212.75,5,25089.82,3893.98,9528.71,1967.2,-,14053.84,23033.76,0.03,48141.67,41850.69,-,16230.29,17092.18,129.35,-,-
Gorontalo,1016,1956,-,133,-,103720.4,6811.5,7507.25,103,-,5692,-,940,-,-,712.25,6310,-,14434.9,59357.82,-,-,5770.47,0.16,-,-
Sulawesi Barat,1895.22,8818.9,-,17607.57,87.8,32753.37,22338.55,18764.25,-,802,18765.8,174,1937,73,-,8937,3627,-,19975.05,22825.26,56,23507.01,8087.12,1,-,-
Maluku,3351.3,4887.1,-,12775.62,9186.47,39403.19,13942.24,30888.29,416,222,15519.27,4271.44,1784.61,1309,180.22,25878.65,6901.62,-,23755.11,25023.32,212.96,4373.9,17059.1,-,-,-
Maluku Utara,5661.04,5712.1,-,8089.41,2450.48,40375.11,35378.03,20763.65,94,-,23424.48,4,5842.3,835,-,8912.04,5378.21,-,46082.33,87299.92,5.5,305,55502.92,-,-,-
Papua Barat,2456.19,1902.36,0.24,5313.9,3386.78,12926.26,7994.82,11400.77,122.08,732.38,7514.91,2891.21,5731.2,432.47,-,8348.56,1395.01,11.53,8314.14,15202.79,966.23,1185.11,306.73,-,-,-
Papua Barat Daya,1017.75,19.2,-,11509.84,2366.94,33249.84,8250.75,22076.38,62,-,4154.13,366,457,1545,-,8940.6,5210,-,7662.77,6688.6,-,1232.79,3484.96,-,-,-
Papua,1672.25,3661.3,6,16940.35,2035.05,14184.4,8765.88,25785.16,597,9,5269.45,14024.46,2304.52,1320,-,15855.18,4778,-,7232.4,9664.62,1,4123.74,506.1,-,-,0.12
Papua Selatan,1286.19,2191.5,-,6709.79,3321.4,15607.42,8804.37,8945.08,824.5,-,4268.53,14834.1,655.7,1075,-,13364.56,3470.8,-,8603.08,19961.45,0.02,2474.8,4.8,-,-,-
Papua Tengah,18368,10.5,1.75,21922,18463.5,40233.4,31999,50936,17,-,17434,12350,1563,22818,-,31642.8,30914.8,0.84,27613,35948.4,64,15823,5934,-,-,-
Papua Pegunungan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indonesia,6269541.81,20857208.27,394380.19,1684001.95,3073897.1,15687569.77,2933389.27,3135623.3,1823869.64,12704492.21,3991993.48,14559335.48,4449902.83,1253837.78,164775.02,6885951.97,4210087.77,317706.02,6767122.66,11527914.77,6816552.67,3840040.55,10853210.64,433640.79,32191.2,21062.39
,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,,,,,,,,,,,
