No.,Kode Provinsi,Nama Provinsi,Tahun,%AKE
162,72,Sulawesi Tengah,2022,95.3
163,73,Sulawesi Selatan,2022,98.9
164,74,Sulawesi Tenggara,2022,92.8
165,75,Gorontalo,2022,93.2
166,76,Sulawesi Barat,2022,99.2
167,81,Maluku,2022,87.5
168,82,Maluku Utara,2022,87.8
169,91,Papua Barat,2022,89.5
170,94,Papua,2022,90.6
171,11,Aceh,2023,97.8
172,12,Sumatera Utara,2023,99.7
173,13,Sumatera Barat,2023,99.3
174,14,Riau,2023,97.5
175,15,Jambi,2023,97.3
176,16,Sumatera Selatan,2023,104.3
177,17,Bengkulu,2023,98.1
178,18,Lampung,2023,99.8
179,19,Kepulauan Bangka Belitung,2023,98.0
180,21,Kepulauan Riau,2023,97.5
181,31,DKI Jakarta,2023,102.8
182,32,Jawa Barat,2023,100.5
183,33,Jawa Tengah,2023,96.4
184,34,DI Yogyakarta,2023,97.8
185,35,Jawa Timur,2023,98.5
186,36,Banten,2023,105.1
187,51,Bali,2023,107.8
188,52,Nusa Tenggara Barat,2023,118.3
189,53,Nusa Tenggara Timur,2023,92.3
190,61,Kalimantan Barat,2023,91.4
191,62,Kalimantan Tengah,2023,102.0
192,63,Kalimantan Selatan,2023,103.2
193,64,Kalimantan Timur,2023,95.7
194,65,Kalimantan Utara,2023,90.1
195,71,Sulawesi Utara,2023,100.2
196,72,Sulawesi Tengah,2023,97.9
197,73,Sulawesi Selatan,2023,100.5
198,74,Sulawesi Tenggara,2023,96.2
199,75,Gorontalo,2023,95.1
200,76,Sulawesi Barat,2023,100.0
201,81,Maluku,2023,86.6
202,82,Maluku Utara,2023,86.8
203,91,Papua Barat,2023,88.6
204,94,Papua,2023,90.6
205,11,Aceh,2024,94.7
206,12,Sumatera Utara,2024,97.2
207,13,Sumatera Barat,2024,96.8
208,14,Riau,2024,96.1
209,15,Jambi,2024,95.8
210,16,Sumatera Selatan,2024,104.6
211,17,Bengkulu,2024,96.8
212,18,Lampung,2024,95.5
213,19,Kepulauan Bangka Belitung,2024,94.9
214,21,Kepulauan Riau,2024,97.6
215,31,DKI Jakarta,2024,98.7
216,32,Jawa Barat,2024,98.6
217,33,Jawa Tengah,2024,94.9
218,34,DI Yogyakarta,2024,96
219,35,Jawa Timur,2024,97.4
220,36,Banten,2024,104
221,51,Bali,2024,109.3
222,52,Nusa Tenggara Barat,2024,115.2
223,53,Nusa Tenggara Timur,2024,91.9
224,61,Kalimantan Barat,2024,90.6
225,62,Kalimantan Tengah,2024,97.6
226,63,Kalimantan Selatan,2024,104.7
227,64,Kalimantan Timur,2024,92.9
228,65,Kalimantan Utara,2024,89
229,71,Sulawesi Utara,2024,95.8
230,72,Sulawesi Tengah,2024,96.8
231,73,Sulawesi Selatan,2024,98.3
232,74,Sulawesi Tenggara,2024,93.1
233,75,Gorontalo,2024,92.3
234,76,Sulawesi Barat,2024,98.5
235,81,Maluku,2024,85.4
236,82,Maluku Utara,2024,85.7
237,92,Papua Barat,2024,84.3
238,91,Papua,2024,84.9
239,96,Papua Barat Daya,2024,90
240,94,Papua Tengah,2024,80.8
241,95,Papua Pegunungan,2024,104.3
242,93,Papua Selatan,2024,85.3
