No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKE
100,1602,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2021,113.5
101,1603,Kabupaten Muara Enim,Sumatera Selatan,2021,102
102,1604,Kabupaten Lahat,Sumatera Selatan,2021,109.1
103,1605,Kabupaten Musi Rawas,Sumatera Selatan,2021,102.5
104,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2021,107.3
105,1607,Kabupaten Banyuasin,Sumatera Selatan,2021,117.1
106,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2021,99.2
107,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2021,111.2
108,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2021,103.9
109,1611,Kabupaten Empat Lawang,Sumatera Selatan,2021,102.4
110,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2021,103.7
111,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2021,104.5
112,1671,Kota Palembang,Sumatera Selatan,2021,102.9
113,1674,Kota Prabumulih,Sumatera Selatan,2021,89.1
114,1672,Kota Pagar Alam,Sumatera Selatan,2021,105.9
115,1673,Kota Lubuklinggau,Sumatera Selatan,2021,107.4
116,1701,Kabupaten Bengkulu Selatan,Bengkulu,2021,100.7
117,1702,Kabupaten Rejang Lebong,Bengkulu,2021,103.5
118,1703,Kabupaten Bengkulu Utara,Bengkulu,2021,106.3
119,1704,Kabupaten Kaur,Bengkulu,2021,113
120,1705,Kabupaten Seluma,Bengkulu,2021,96.6
121,1706,Kabupaten Mukomuko,Bengkulu,2021,99.4
122,1707,Kabupaten Lebong,Bengkulu,2021,109.9
123,1708,Kabupaten Kepahiang,Bengkulu,2021,106.3
124,1709,Kabupaten Bengkulu Tengah,Bengkulu,2021,111.5
125,1771,Kota Bengkulu,Bengkulu,2021,91.7
126,1804,Kabupaten Lampung Barat,Lampung,2021,104.7
127,1806,Kabupaten Tanggamus,Lampung,2021,98.4
128,1801,Kabupaten Lampung Selatan,Lampung,2021,103.2
129,1807,Kabupaten Lampung Timur,Lampung,2021,99.2
130,1802,Kabupaten Lampung Tengah,Lampung,2021,106.3
131,1803,Kabupaten Lampung Utara,Lampung,2021,91.9
132,1808,Kabupaten Way Kanan,Lampung,2021,103.5
133,1805,Kabupaten Tulang Bawang,Lampung,2021,90.1
134,1809,Kabupaten Pesawaran,Lampung,2021,104.3
135,1810,Kabupaten Pringsewu,Lampung,2021,102.4
136,1811,Kabupaten Mesuji,Lampung,2021,96.4
