No,Kode Provinsi,Nama Provinsi,Tahun,Skor PPH
162,72,Sulawesi Tengah,2022,80.6
163,73,Sulawesi Selatan,2022,84.4
164,74,Sulawesi Tenggara,2022,80.1
165,75,Gorontalo,2022,76.8
166,76,Sulawesi Barat,2022,76.1
167,81,Maluku,2022,73.7
168,82,Maluku Utara,2022,80.5
169,91,Papua Barat,2022,82.3
170,94,Papua,2022,75.2
171,11,Aceh,2023,83.4
172,12,Sumatera Utara,2023,90.8
173,13,Sumatera Barat,2023,90.5
174,14,Riau,2023,88.9
175,15,Jambi,2023,93.1
176,16,Sumatera Selatan,2023,94.2
177,17,Bengkulu,2023,89.5
178,18,Lampung,2023,92.4
179,19,Kepulauan Bangka Belitung,2023,88.7
180,21,Kepulauan Riau,2023,89.9
181,31,DKI Jakarta,2023,92.7
182,32,Jawa Barat,2023,93.8
183,33,Jawa Tengah,2023,94.2
184,34,DI Yogyakarta,2023,96.3
185,35,Jawa Timur,2023,93.8
186,36,Banten,2023,93.3
187,51,Bali,2023,92.2
188,52,Nusa Tenggara Barat,2023,94.7
189,53,Nusa Tenggara Timur,2023,74.3
190,61,Kalimantan Barat,2023,83.2
191,62,Kalimantan Tengah,2023,88.5
192,63,Kalimantan Selatan,2023,88.1
193,64,Kalimantan Timur,2023,87.6
194,65,Kalimantan Utara,2023,82.9
195,71,Sulawesi Utara,2023,87.0
196,72,Sulawesi Tengah,2023,81.2
197,73,Sulawesi Selatan,2023,86.7
198,74,Sulawesi Tenggara,2023,81.4
199,75,Gorontalo,2023,76.1
200,76,Sulawesi Barat,2023,74.7
201,81,Maluku,2023,75.9
202,82,Maluku Utara,2023,77.8
203,91,Papua Barat,2023,81.2
204,94,Papua,2023,79.0
205,11,Aceh,2024,83.3
206,12,Sumatera Utara,2024,89.2
207,13,Sumatera Barat,2024,89
208,14,Riau,2024,88.1
209,15,Jambi,2024,92.5
210,16,Sumatera Selatan,2024,93.8
211,17,Bengkulu,2024,89.8
212,18,Lampung,2024,91.1
213,19,Kepulauan Bangka Belitung,2024,90.6
214,21,Kepulauan Riau,2024,88.8
215,31,DKI Jakarta,2024,91.3
216,32,Jawa Barat,2024,93.3
217,33,Jawa Tengah,2024,93.6
218,34,DI Yogyakarta,2024,95.7
219,35,Jawa Timur,2024,93.9
220,36,Banten,2024,92.2
221,51,Bali,2024,92
222,52,Nusa Tenggara Barat,2024,93.3
223,53,Nusa Tenggara Timur,2024,72.4
224,61,Kalimantan Barat,2024,86.6
225,62,Kalimantan Tengah,2024,90.6
226,63,Kalimantan Selatan,2024,92.3
227,64,Kalimantan Timur,2024,89.1
228,65,Kalimantan Utara,2024,82.4
229,71,Sulawesi Utara,2024,87.6
230,72,Sulawesi Tengah,2024,85.3
231,73,Sulawesi Selatan,2024,87.7
232,74,Sulawesi Tenggara,2024,82.2
233,75,Gorontalo,2024,76.7
234,76,Sulawesi Barat,2024,80.3
235,81,Maluku,2024,76.9
236,82,Maluku Utara,2024,80.5
237,92,Papua Barat,2024,77.9
238,91,Papua,2024,78.3
239,96,Papua Barat Daya,2024,83.2
240,94,Papua Tengah,2024,76
241,95,Papua Pegunungan,2024,68
242,93,Papua Selatan,2024,83.4
