No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
75,1377,Kota Pariaman,Sumatera Barat,2021,60.9
76,1409,Kabupaten Kuantan Sengingi,Riau,2021,57.4
77,1402,Kabupaten Indragiri Hulu,Riau,2021,53.9
78,1404,Kabupaten Indragiri Hilir,Riau,2021,56.4
79,1405,Kabupaten Pelalawan,Riau,2021,59.6
80,1408,Kabupaten Siak,Riau,2021,60.8
81,1401,Kabupaten Kampar,Riau,2021,56
82,1406,Kabupaten Rokan Hulu,Riau,2021,58.1
83,1403,Kabupaten Bengkalis,Riau,2021,57.5
84,1407,Kabupaten Rokan Hilir,Riau,2021,61.9
85,1410,Kabupaten Kepulauan Meranti,Riau,2021,56.3
86,1471,Kota Pekanbaru,Riau,2021,58.4
87,1472,Kota Dumai,Riau,2021,59.7
88,1501,Kabupaten Kerinci,Jambi,2021,57.3
89,1502,Kabupaten Merangin,Jambi,2021,60.2
90,1503,Kabupaten Sarolangun,Jambi,2021,56.6
91,1504,Kabupaten Batang Hari,Jambi,2021,66
92,1505,Kabupaten Muaro Jambi,Jambi,2021,62.5
93,1507,Kabupaten Tanjung Jabung Timur,Jambi,2021,57.8
94,1506,Kabupaten Tanjung Jabung Barat,Jambi,2021,59.6
95,1509,Kabupaten Tebo,Jambi,2021,64.1
96,1508,Kabupaten Bungo,Jambi,2021,58.2
97,1571,Kota Jambi,Jambi,2021,61.8
98,1572,Kota Sungai Penuh,Jambi,2021,57.4
99,1601,Kabupaten Ogan Komering Ulu,Sumatera Selatan,2021,58.5
100,1602,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2021,67.1
101,1603,Kabupaten Muara Enim,Sumatera Selatan,2021,58.8
102,1604,Kabupaten Lahat,Sumatera Selatan,2021,63.6
103,1605,Kabupaten Musi Rawas,Sumatera Selatan,2021,59.5
104,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2021,62.4
105,1607,Kabupaten Banyuasin,Sumatera Selatan,2021,73
