38 Provinsi,
,Produksi Telur Ayam Petelur menurut Provinsi (Ton)
,2024
ACEH,3012.72
SUMATERA UTARA,555242.6
SUMATERA BARAT,330571.89
RIAU,5564.03
JAMBI,39113.83
SUMATERA SELATAN,218684.05
BENGKULU,8085.33
LAMPUNG,207224.72
KEP. BANGKA BELITUNG,14544.38
KEP. RIAU,19489.42
DKI JAKARTA,0
JAWA BARAT,706287.88
JAWA TENGAH,782834.66
DI YOGYAKARTA,115519.51
JAWA TIMUR,1950149.09
BANTEN,304751.62
BALI,217230.16
NUSA TENGGARA BARAT,47782.6
NUSA TENGGARA TIMUR,4669.98
KALIMANTAN BARAT,84607.56
KALIMANTAN TENGAH,5424.35
KALIMANTAN SELATAN,106649.57
KALIMANTAN TIMUR,35071.47
KALIMANTAN UTARA,2091.88
SULAWESI UTARA,35960.67
SULAWESI TENGAH,22667.12
SULAWESI SELATAN,275941.29
SULAWESI TENGGARA,5659.41
GORONTALO,6613.04
SULAWESI BARAT,2705.97
MALUKU,1484.57
MALUKU UTARA,175.85
PAPUA BARAT,1147.32
PAPUA BARAT DAYA,3524.13
PAPUA,3844.66
PAPUA SELATAN,4433.73
PAPUA TENGAH,5185.42
PAPUA PEGUNUNGAN,592.51
INDONESIA,6134538.99
